iter	Passed	Remaining
436	1276	1644
437	1277	1639
438	1282	1638
439	1283	1634
440	1285	1629
441	1286	1624
442	1287	1619
443	1289	1614
444	1290	1610
445	1292	1605
446	1297	1604
447	1298	1599
448	1300	1595
449	1301	1591
450	1303	1586
451	1304	1581
452	1306	1577
453	1307	1572
454	1313	1573
455	1315	1569
456	1316	1564
457	1318	1560
458	1319	1555
459	1321	1550
460	1322	1546
461	1327	1546
462	1329	1542
463	1331	1537
464	1332	1533
465	1334	1528
466	1335	1524
467	1336	1519
468	1338	1515
469	1343	1514
470	1345	1510
471	1346	1506
472	1348	1502
473	1349	1497
474	1350	1492
475	1352	1488
476	1353	1484
477	1357	1482
478	1359	1478
479	1360	1473
480	1361	1469
481	1363	1465
482	1365	1461
483	1366	1456
484	1367	1452
485	1375	1455
486	1380	1454
487	1382	1450
488	1384	1446
489	1391	1448
490	1395	1446
491	1398	1443
492	1404	1444
493	1406	1440
494	1408	1436
495	1409	1432
496	1411	1428
497	1412	1423
498	1414	1419
499	1415	1415
500	1416	1411
501	1435	1423
502	1437	1420
503	1439	1416
504	1440	1412
505	1442	1408
506	1444	1404
507	1449	1403
508	1451	1399
509	1452	1395
510	1454	1391
511	1456	1387
512	1457	1383
513	1459	1379
514	1462	1377
515	1497	1404
516	1499	1401
517	1501	1397
518	1503	1393
519	1506	1390
520	1512	1390
521	1515	1387
522	1517	1383
523	1518	1379
524	1520	1376
525	1522	1372
526	1525	1369
527	1527	1365
528	1529	1361
529	1530	1357
530	1564	1382
531	1566	1378
532	1569	1374
533	1571	1370
534	1575	1369
535	1577	1365
536	1579	1361
537	1581	1357
538	1584	1354
539	1591	1355
540	1593	1351
541	1594	1347
542	1596	1343
543	1600	1341
544	1605	1340
545	1612	1340
546	1622	1343
547	1624	1340
548	1629	1338
549	1631	1334
550	1633	1331
551	1638	1329
552	1641	1326
553	1642	1322
554	1644	1318
555	1645	1314
556	1647	1309
557	1648	1305
558	1653	1304
559	1654	1300
560	1656	1295
561	1657	1291
562	1658	1287
563	1659	1283
564	1660	1278
565	1662	1274
566	1663	1270
567	1667	1268
568	1669	1264
569	1670	1260
570	1671	1256
571	1673	1252
572	1674	1248
573	1676	1243
574	1677	1239
575	1678	1235
576	1684	1235
577	1686	1231
578	1688	1227
579	1689	1223
580	1691	1219
581	1692	1215
582	1693	1211
583	1698	1209
584	1700	1206
585	1701	1202
586	1702	1198
587	1704	1194
588	1705	1190
589	1706	1186
590	1708	1182
591	1709	1178
592	1714	1176
593	1716	1173
594	1718	1169
595	1719	1165
596	1721	1161
597	1722	1157
598	1723	1153
599	1724	1149
600	1728	1147
601	1730	1143
602	1731	1139
603	1732	1135
604	1733	1131
605	1735	1128
606	1736	1124
607	1738	1120
608	1739	1116
609	1743	1114
610	1745	1111
611	1747	1107
612	1748	1103
613	1749	1099
614	1750	1095
615	1751	1092
616	1752	1088
617	1754	1084
618	1758	1082
619	1759	1078
620	1761	1075
621	1762	1071
622	1763	1067
623	1765	1063
624	1766	1059
625	1767	1055
626	1768	1052
627	1769	1048
628	1774	1046
629	1776	1043
630	1777	1039
631	1778	1035
632	1779	1031
633	1781	1028
634	1782	1024
635	1783	1021
636	1785	1017
637	1786	1013
638	1788	1010
639	1789	1006
640	1791	1003
641	1792	999
642	1793	995
643	1795	992
644	1796	988
645	1802	987
646	1804	984
647	1806	981
648	1808	977
649	1809	974
650	1811	971
651	1812	967
652	1818	966
653	1819	962
654	1821	959
655	1822	955
656	1823	952
657	1825	948
658	1826	945
659	1827	941
660	1832	939
661	1833	936
662	1835	932
663	1836	929
664	1837	925
665	1839	922
666	1841	919
667	1842	915
668	1847	913
669	1848	910
670	1850	907
671	1851	903
672	1852	900
673	1854	896
674	1855	893
675	1860	891
676	1861	888
677	1862	884
678	1864	881
679	1865	877
680	1866	874
681	1868	871
682	1869	867
683	1870	864
684	1875	862
685	1876	859
686	1878	855
687	1879	852
688	1881	849
689	1882	845
690	1883	842
691	1885	839
692	1890	837
693	1892	834
694	1894	831
695	1896	828
696	1898	825
697	1899	822
698	1904	820
699	1906	816
700	1907	813
701	1908	810
702	1910	806
703	1911	803
704	1912	800
705	1913	797
706	1915	793
707	1919	791
708	1921	788
709	1922	785
710	1923	782
711	1925	778
712	1926	775
713	1927	772
714	1928	768
715	1930	765
716	1935	763
717	1936	760
718	1937	757
719	1939	754
720	1940	750
721	1941	747
722	1942	744
723	1943	741
724	1945	737
725	1946	734
726	1950	732
727	1952	729
728	1953	726
729	1954	722
730	1955	719
731	1956	716
732	1957	713
733	1958	709
734	1959	706
735	1960	703
736	1965	701
737	1967	698
738	1968	695
739	1969	692
740	1971	689
741	1972	685
742	1973	682
743	1975	679
744	1980	677
745	1982	674
746	1983	671
747	1985	668
748	1986	665
749	1987	662
750	1989	659
751	1990	656
752	1995	654
753	1997	651
754	1998	648
755	2000	645
756	2002	642
757	2004	640
758	2005	636
759	2010	635
760	2012	632
761	2013	628
762	2015	625
763	2016	622
764	2017	619
765	2019	616
766	2020	613
767	2024	611
768	2026	608
769	2027	605
770	2028	602
771	2029	599
772	2031	596
773	2032	593
774	2033	590
775	2035	587
776	2036	584
777	2041	582
778	2042	579
779	2044	576
780	2045	573
781	2046	570
782	2047	567
783	2048	564
784	2050	561
785	2051	558
786	2056	556
787	2058	553
788	2059	550
789	2061	547
790	2062	544
791	2063	541
792	2064	538
793	2066	536
794	2067	533
795	2071	530
796	2073	528
797	2074	525
798	2075	522
799	2077	519
800	2078	516
801	2080	513
802	2081	510
803	2082	507
804	2086	505
805	2087	502
806	2089	499
807	2090	496
808	2092	494
809	2094	491
810	2095	488
811	2096	485
812	2101	483
813	2102	480
814	2104	477
815	2105	474
816	2106	471
817	2108	469
818	2109	466
819	2110	463
820	2112	460
821	2117	458
822	2118	455
823	2120	452
824	2121	450
825	2122	447
826	2124	444
827	2125	441
828	2126	438
829	2131	436
830	2132	433
831	2133	430
832	2135	428
833	2137	425
834	2139	422
835	2140	419
836	2142	417
837	2145	414
838	2147	412
839	2148	409
840	2150	406
841	2151	403
842	2153	400
843	2154	398
844	2155	395
845	2156	392
846	2161	390
847	2163	387
848	2164	384
849	2166	382
850	2167	379
851	2168	376
852	2169	373
853	2171	371
854	2180	369
855	2188	368
856	2194	366
857	2196	363
858	2198	360
859	2200	358
860	2201	355
861	2211	354
862	2213	351
863	2215	348
864	2216	345
865	2218	343
866	2220	340
867	2225	338
868	2227	335
869	2228	333
870	2230	330
871	2232	327
872	2234	325
873	2240	322
874	2257	322
875	2261	320
876	2263	317
877	2264	314
878	2266	311
879	2275	310
880	2300	310
881	2309	308
882	2312	306
883	2324	305
884	2326	302
885	2329	299
886	2331	296
887	2342	295
888	2349	293
889	2351	290
890	2353	287
891	2355	285
892	2358	282
893	2362	280
894	2367	277
895	2374	275
896	2399	275
897	2401	272
898	2403	270
899	2406	267
900	2415	265
901	2419	262
902	2421	260
903	2437	258
904	2438	255
905	2444	253
906	2447	250
907	2448	248
908	2451	245
909	2462	243
910	2471	241
911	2474	238
912	2480	236
913	2492	234
914	2494	231
915	2496	228
916	2498	226
917	2500	223
918	2505	220
919	2506	217
920	2509	215
921	2510	212
922	2513	209
923	2521	207
924	2527	204
925	2530	202
926	2542	200
927	2544	197
928	2552	195
929	2555	192
930	2564	190
931	2579	188
932	2580	185
933	2594	183
934	2597	180
935	2599	177
936	2615	175
937	2621	173
938	2624	170
939	2634	168
940	2636	165
941	2638	162
942	2640	159
943	2642	156
944	2644	153
945	2645	151
946	2648	148
947	2650	145
948	2652	142
949	2654	139
950	2668	137
951	2670	134
952	2672	131
953	2678	129
954	2685	126
955	2698	124
956	2700	121
957	2702	118
958	2709	115
959	2712	113
960	2714	110
961	2716	107
962	2717	104
963	2726	101
964	2729	98
965	2739	96
966	2745	93
967	2746	90
968	2749	87
969	2754	85
970	2756	82
971	2760	79
972	2762	76
973	2768	73
974	2770	71
975	2776	68
976	2778	65
977	2780	62
978	2786	59
979	2809	57
980	2811	54
981	2822	51
982	2826	48
983	2827	45
984	2829	43
985	2845	40
986	2856	37
987	2857	34
988	2859	31
989	2861	28
990	2866	26
991	2868	23
992	2869	20
993	2872	17
994	2900	14
995	2904	11
996	2909	8
997	2919	5
998	2925	2
999	2929	0
